,0,1
202,202,-0.5458307177129168
203,203,-0.5471322942974943
204,204,-0.5485960564258475
205,205,-0.5513025220218081
206,206,-0.5530113480809111
207,207,-0.5567692300113816
208,208,-0.5582404136869091
209,209,-0.5608855874749799
210,210,-0.5621805596413989
211,211,-0.5657699460151572
212,212,-0.57476360455481
213,213,-0.5787308674189229
214,214,-0.5830157533022542
215,215,-0.5840581078979153
216,216,-0.5849393900993246
217,217,-0.5858712850752253
218,218,-0.5865214815723676
219,219,-0.588043712862112
220,220,-0.5886645693424124
221,221,-0.5890230911406654
222,222,-0.5896374254527468
223,223,-0.5907193589481492
224,224,-0.5923198199572939
225,225,-0.5931184122177738
226,226,-0.5948577676999349
227,227,-0.5960201259287972
228,228,-0.5962316222342628
229,229,-0.5972207177701373
230,230,-0.5980040876346606
231,231,-0.5991433779726703
232,232,-0.6101319220374305
233,233,-0.6142008770952899
234,234,-0.6154277844647843
235,235,-0.6195391514400918
236,236,-0.620768154064842
237,237,-0.6233262329156477
238,238,-0.6264875551725704
239,239,-0.6304513498152573
240,240,-0.6339484741563876
241,241,-0.6352162283982117
242,242,-0.6426322449917872
243,243,-0.6510556902463515
244,244,-0.6573348968620378
245,245,-0.6609624043489772
246,246,-0.6629164228285629
247,247,-0.6640404035652954
248,248,-0.6648545148800094
249,249,-0.6672804737429101
250,250,-0.6703743315975148
251,251,-0.6732182796935517
252,252,-0.6766851922611672
253,253,-0.6778778844322044
254,254,-0.6787296329895932
255,255,-0.6793746750931222
256,256,-0.6820917657206733
257,257,-0.6850213513742167
258,258,-0.6868851141105372
259,259,-0.7007853760401684
260,260,-0.702058737693258
261,261,-0.7033883341829259
262,262,-0.7049701738546569
263,263,-0.7064888301859577
264,264,-0.7167296205948074
265,265,-0.7251851668844898
266,266,-0.7288611791203696
267,267,-0.7332719297776896
268,268,-0.7350630953918178
269,269,-0.7383586629579741
270,270,-0.7421136337946136
271,271,-0.743455152631827
272,272,-0.7466618067990024
273,273,-0.7481503611157615
274,274,-0.7582122656593997
275,275,-0.7626700661252219
276,276,-0.7665056393812377
277,277,-0.7738789211462218
278,278,-0.7865334213325398
279,279,-0.7881029789156971
280,280,-0.7895369787861004
281,281,-0.794027411033876
282,282,-0.7948892320296836
283,283,-0.8021079194428042
284,284,-0.8037772574515551
285,285,-0.8103922792549565
286,286,-0.816310705429953
287,287,-0.8180736702244118
288,288,-0.8218213635395601
289,289,-0.8251068175144872
290,290,-0.8265223672777909
291,291,-0.8305462176447298
292,292,-0.8315621026431705
293,293,-0.8322604446908023
294,294,-0.833311481859305
295,295,-0.8337291950961139
296,296,-0.8342447837879444
297,297,-0.8381495415328769
298,298,-0.8396707045330666
299,299,-0.8408593416020042
300,300,-0.8460859102422371
301,301,-0.8470033769760281
302,302,-0.8484334199968725
303,303,-0.8479687955353409
304,304,-0.8481484483901411
305,305,-0.8481269192699343
306,306,-0.8486279768351466
307,307,-0.8483679456416517
308,308,-0.8478820892754942
309,309,-0.8475767483595759
310,310,-0.8471543038073928
311,311,-0.8464132902625948
312,312,-0.8460991109255701
313,313,-0.8458277043048292
314,314,-0.8456760174069554
315,315,-0.8448690997514874
316,316,-0.8443209639046341
317,317,-0.8442955308232456
318,318,-0.8425526767704636
319,319,-0.842249171546474
320,320,-0.841863376781717
321,321,-0.8405278447244316
322,322,-0.8402361247513443
323,323,-0.8395986798916012
324,324,-0.8395964730415493
325,325,-0.8395413862083108
326,326,-0.838326839730516
327,327,-0.8376279117260128
328,328,-0.8371766683850438
329,329,-0.836453250188008
330,330,-0.8363824069742113
331,331,-0.8353600305799395
332,332,-0.8350792103294283
333,333,-0.8344013197425753
334,334,-0.8333678378704935
335,335,-0.832131906175986
336,336,-0.8319181422475725
337,337,-0.8302972989264875
338,338,-0.8301424061778933
339,339,-0.8301214410725981
340,340,-0.8284225825551897
341,341,-0.8290433196071535
342,342,-0.8294078698027879
343,343,-0.8296118807267397
344,344,-0.831763038136065
345,345,-0.8326911191590131
346,346,-0.8327661001004278
347,347,-0.8326546757854522
348,348,-0.8318931888259947
349,349,-0.8321288933940232
350,350,-0.8336116860963404
351,351,-0.8340636275209486
352,352,-0.8352041211463511
353,353,-0.835918497134
354,354,-0.8358178096689284
355,355,-0.8359086533434689
356,356,-0.8358690585978329
357,357,-0.8359561747439206
358,358,-0.8363363029755652
359,359,-0.836836356870085
360,360,-0.836920984698087
361,361,-0.8354912661083043
362,362,-0.834443893379718
363,363,-0.8342119535885751
364,364,-0.8325561154890107
365,365,-0.831807299783756
366,366,-0.8313213551339926
367,367,-0.8307822849182179
368,368,-0.8298703965363792
369,369,-0.8292146173445275
370,370,-0.8284331350704423
371,371,-0.8299128994440427
372,372,-0.8279488389452686
373,373,-0.8279270764996997
374,374,-0.8299052522768965
375,375,-0.8309996906136861
376,376,-0.8307390767184785
377,377,-0.831587439796119
378,378,-0.8304900259306421
379,379,-0.8290041450226796
380,380,-0.8286090769792092
381,381,-0.8285071442807209
382,382,-0.8305979892486823
383,383,-0.8315315932566416
384,384,-0.8331793135890854
385,385,-0.8329091692963732
386,386,-0.8319386235812796
387,387,-0.8313243769610417
388,388,-0.8289982348019374
389,389,-0.8292187484348309
390,390,-0.8289358288133634
391,391,-0.8280670276994002
392,392,-0.8281679476047051
393,393,-0.8277470362419379
394,394,-0.8254821460368228
395,395,-0.8263172082634759
396,396,-0.8282622568378342
397,397,-0.8297313515188289
398,398,-0.8306387790279579
